nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT02512276,OTHER,1,United States,1,OTHER
NCT00264849,INDUSTRY,2,Belgium;Canada;Denmark;Germany;Greece;Hungary;Ireland;Israel;Italy;Norway;Poland;Portugal;Spain;Sweden;Switzerland;Turkey (Türkiye);United Kingdom,17,INDUSTRY
NCT01801254,OTHER,0,United States,1,OTHER
NCT01768286,INDUSTRY,0,United States,1,INDUSTRY
NCT01611051,INDUSTRY,0,China,1,INDUSTRY
NCT04032457,INDUSTRY,1,United States,1,INDUSTRY
NCT02570581,OTHER,0,France,1,OTHER
NCT02159560,OTHER,0,United States,1,OTHER
NCT01312454,INDUSTRY,0,,0,INDUSTRY
NCT00805818,INDUSTRY,0,United States,1,INDUSTRY
NCT05259475,OTHER;UNKNOWN,4,Singapore,1,OTHER
NCT02930785,INDUSTRY,0,United States,1,INDUSTRY
NCT03187041,OTHER,0,United States,1,OTHER
NCT02246010,OTHER,0,Lebanon,1,OTHER
NCT03959735,OTHER;OTHER_GOV,2,United Kingdom,1,OTHER
NCT01483911,INDUSTRY,0,Netherlands,1,INDUSTRY
NCT01953692,INDUSTRY,0,,0,INDUSTRY
NCT02111278,OTHER,0,United States,1,OTHER
NCT03956992,INDUSTRY,0,Indonesia,1,INDUSTRY
NCT02754466,OTHER,1,Brazil,1,OTHER
NCT01779895,INDUSTRY,0,Switzerland,1,INDUSTRY
NCT01539408,OTHER,0,Nigeria,1,OTHER
NCT05475938,OTHER_GOV,0,China,1,OTHER_GOV
NCT01575041,OTHER,1,Netherlands,1,OTHER
NCT03235414,OTHER,3,United States,1,OTHER
NCT02160587,INDUSTRY,0,United States,1,INDUSTRY
NCT01349933,NIH,0,United States;China;Singapore,3,NIH
NCT02394054,OTHER,0,United States,1,OTHER
NCT04650971,OTHER,0,Russia,1,OTHER
NCT00137501,OTHER,0,Lebanon,1,OTHER
NCT01580228,INDUSTRY,0,,0,INDUSTRY
NCT03235284,OTHER,0,Brazil,1,OTHER
NCT01316926,INDUSTRY,0,Brazil,1,INDUSTRY
NCT01603758,OTHER;NIH,1,United States,1,OTHER
